year_film,year_ceremony,ceremony,category,name,film,winner,loser,winner_ct,loser_ct,nominees
1980,1981,53,ACTOR IN A LEADING ROLE,Robert De Niro,Raging Bull,True,False,2,6,8
1980,1981,53,ACTOR IN A SUPPORTING ROLE,Joe Pesci,Raging Bull,False,True,2,6,8
1980,1981,53,ACTRESS IN A SUPPORTING ROLE,Cathy Moriarty,Raging Bull,False,True,2,6,8
1980,1981,53,CINEMATOGRAPHY,Michael Chapman,Raging Bull,False,True,2,6,8
1980,1981,53,DIRECTING,Martin Scorsese,Raging Bull,False,True,2,6,8
1980,1981,53,FILM EDITING,Thelma Schoonmaker,Raging Bull,True,False,2,6,8
1980,1981,53,BEST PICTURE,"Irwin Winkler and Robert Chartoff, Producers",Raging Bull,False,True,2,6,8
1980,1981,53,SOUND,"Donald O. Mitchell, Bill Nicholson, David J. Kimball, Les Lazarowitz",Raging Bull,False,True,2,6,8
1980,1981,53,ACTOR IN A LEADING ROLE,Robert Duvall,The Great Santini,False,True,0,2,2
1980,1981,53,ACTOR IN A SUPPORTING ROLE,Michael O'Keefe,The Great Santini,False,True,0,2,2
1980,1981,53,ACTOR IN A LEADING ROLE,John Hurt,The Elephant Man,False,True,0,8,8
1980,1981,53,ART DIRECTION,"Art Direction:  Stuart Craig, Bob Cartwright;  Set Decoration:  Hugh Scaife",The Elephant Man,False,True,0,8,8
1980,1981,53,COSTUME DESIGN,Patricia Norris,The Elephant Man,False,True,0,8,8
1980,1981,53,DIRECTING,David Lynch,The Elephant Man,False,True,0,8,8
1980,1981,53,FILM EDITING,Anne V. Coates,The Elephant Man,False,True,0,8,8
1980,1981,53,MUSIC (Original Score),John Morris,The Elephant Man,False,True,0,8,8
1980,1981,53,BEST PICTURE,"Jonathan Sanger, Producer",The Elephant Man,False,True,0,8,8
1980,1981,53,WRITING (Screenplay Based on Material from Another Medium),"Christopher DeVore, Eric Bergren, David Lynch",The Elephant Man,False,True,0,8,8
1980,1981,53,ACTOR IN A LEADING ROLE,Jack Lemmon,Tribute,False,True,0,1,1
1980,1981,53,ACTOR IN A LEADING ROLE,Peter O'Toole,The Stunt Man,False,True,0,3,3
1980,1981,53,DIRECTING,Richard Rush,The Stunt Man,False,True,0,3,3
1980,1981,53,WRITING (Screenplay Based on Material from Another Medium),Screenplay by Lawrence B. Marcus;  Adaptation by Richard Rush,The Stunt Man,False,True,0,3,3
1980,1981,53,ACTOR IN A SUPPORTING ROLE,Judd Hirsch,Ordinary People,False,True,4,2,6
1980,1981,53,ACTOR IN A SUPPORTING ROLE,Timothy Hutton,Ordinary People,True,False,4,2,6
