title,Adjusted Budget,Adjusted Domestic,Adjusted International,Adjusted Worldwide
The Godfather: Part III,106920000.0,131998802.76,138798000.0,270796802.76
Havana,79200000.0,18301417.2,796554.0,19097971.2
Lionheart,11880000.0,47674828.08,382140.0,48056968.08
Pretty Woman,27720000.0,353244410.64,564300000.0,917544410.64
Boyz n the Hood,12350000.0,109257731.1,47501.899999999994,109305233.0
For the Boys,76000000.0,33934532.0,10150111.6,44084643.6
Jungle Fever,26600000.0,61717095.8,21660000.0,83377095.8
Sleeping with the Enemy,36100000.0,193038109.5,139460000.0,332498109.5
Terminator 2: Judgment Day,193800000.0,391174192.59999996,598507016.6999999,989681209.3
Thelma & Louise,31350000.0,86185738.5,140391.0,86326129.5
The People Under the Stairs,11400000.0,45987892.6,13571700.0,59559592.599999994
Light Sleeper,9200000.0,1933584.2399999998,9431.84,1943016.0799999998
Alien 3,92000000.0,102071322.8,191987353.51999998,294058676.32
Basic Instinct,90160000.0,216618092.16,432767999.99999994,649386092.16
Batman Returns,147200000.0,299740305.59999996,191361311.92,491101617.52
Boomerang,77280000.0,128896496.96,112239999.99999999,241136496.95999998
Death Becomes Her,101199999.99999999,107497675.99999999,166704000.0,274201676.0
Far and Away,110399999.99999999,108346265.6,145176000.0,253522265.6
A Few Good Men,75440000.0,260065927.51999998,187496000.0,447561927.52
A League of Their Own,73600000.0,197862427.51999998,45827299.44,243689726.95999998
Lethal Weapon 3,64399999.99999999,266306009.67999998,325680000.0,591986009.68
Patriot Games,82800000.0,153366920.07999998,174248000.0,327614920.08
Wayne's World,36800000.0,223923074.32,112975999.99999999,336899074.32
Carlito's Way,53700000.0,66137496.38,48156736.95,114294233.33
Cliffhanger,125300000.0,150448087.69,306002290.0,456450377.69
Cool Runnings,25060000.0,123252710.77,153940000.0,277192710.77
In the Line of Fire,71600000.0,183143533.17000002,133681397.55,316824930.72
Jurassic Park,112770000.0,721062334.8000001,1126254397.79,1847316732.5900002
Last Action Hero,152150000.0,89529345.26,156234950.05,245764295.31
Mrs. Doubtfire,44750000.0,392359484.97,397542804.08,789902289.0500001
Schindler's List,39380000.0,173448884.22,403446267.04,576895151.26
Sleepless in Seattle,37590000.0,226986615.35,181003010.0,407989625.35
