year_film,year_ceremony,ceremony,category,name,film,winner
1927,1928,1,ACTOR,Emil Jannings,The Last Command,TRUE
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,TRUE
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,TRUE
1928,1929,2,ACTRESS,Mary Pickford,Coquette,TRUE
1929,1930,3,ACTOR,George Arliss,Disraeli,TRUE
1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,TRUE
1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,TRUE
1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,TRUE
1931,1932,5,ACTOR,Wallace Beery,The Champ,TRUE
1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,TRUE
1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,TRUE
1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,TRUE
1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,TRUE
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,TRUE
1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,TRUE
1935,1936,8,ACTOR,Victor McLaglen,The Informer,TRUE
1935,1936,8,ACTRESS,Bette Davis,Dangerous,TRUE
1936,1937,9,ACTOR,Paul Muni,The Story of Louis Pasteur,TRUE
1936,1937,9,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Come and Get It,TRUE
1936,1937,9,ACTRESS,Luise Rainer,The Great Ziegfeld,TRUE
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anthony Adverse,TRUE
1937,1938,10,ACTOR,Spencer Tracy,Captains Courageous,TRUE
1937,1938,10,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,The Life of Emile Zola,TRUE
1937,1938,10,ACTRESS,Luise Rainer,The Good Earth,TRUE
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago,TRUE
1938,1939,11,ACTOR,Spencer Tracy,Boys Town,TRUE
1938,1939,11,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Kentucky,TRUE
1938,1939,11,ACTRESS,Bette Davis,Jezebel,TRUE
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,Jezebel,TRUE
1939,1940,12,ACTOR,Robert Donat,"Goodbye, Mr. Chips",TRUE
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,TRUE
1939,1940,12,ACTRESS,Vivien Leigh,Gone with the Wind,TRUE
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,TRUE
1940,1941,13,ACTOR,James Stewart,The Philadelphia Story,TRUE
1940,1941,13,ACTOR IN A SUPPORTING ROLE,Walter Brennan,The Westerner,TRUE
1940,1941,13,ACTRESS,Ginger Rogers,Kitty Foyle,TRUE
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath,TRUE
1941,1942,14,ACTOR,Gary Cooper,Sergeant York,TRUE
1941,1942,14,ACTOR IN A SUPPORTING ROLE,Donald Crisp,How Green Was My Valley,TRUE
1941,1942,14,ACTRESS,Joan Fontaine,Suspicion,TRUE
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Mary Astor,The Great Lie,TRUE
1942,1943,15,ACTOR,James Cagney,Yankee Doodle Dandy,TRUE
1942,1943,15,ACTOR IN A SUPPORTING ROLE,Van Heflin,Johnny Eager,TRUE
1942,1943,15,ACTRESS,Greer Garson,Mrs. Miniver,TRUE
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Teresa Wright,Mrs. Miniver,TRUE
1943,1944,16,ACTOR,Paul Lukas,Watch on the Rhine,TRUE
1943,1944,16,ACTOR IN A SUPPORTING ROLE,Charles Coburn,The More the Merrier,TRUE
1943,1944,16,ACTRESS,Jennifer Jones,The Song of Bernadette,TRUE
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou,For Whom the Bell Tolls,TRUE
1944,1945,17,ACTOR,Bing Crosby,Going My Way,TRUE
1944,1945,17,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald,Going My Way,TRUE
1944,1945,17,ACTRESS,Ingrid Bergman,Gaslight,TRUE
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,None but the Lonely Heart,TRUE
1944,1945,17,BEST MOTION PICTURE,Paramount,Going My Way,TRUE
1945,1946,18,ACTOR,Ray Milland,The Lost Weekend,TRUE
1945,1946,18,ACTOR IN A SUPPORTING ROLE,James Dunn,A Tree Grows in Brooklyn,TRUE
1945,1946,18,ACTRESS,Joan Crawford,Mildred Pierce,TRUE
