year_film,year_ceremony,ceremony,category,name,film,winner
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,FALSE
1927,1928,1,ACTOR,Emil Jannings,The Last Command,TRUE
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,FALSE
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,TRUE
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,FALSE
1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,FALSE
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,TRUE
1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,FALSE
1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,FALSE
1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,TRUE
1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,TRUE
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,TRUE
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,FALSE
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,TRUE
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,FALSE
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,FALSE
1927,1928,1,ENGINEERING EFFECTS,Ralph Hammeras,,FALSE
1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,TRUE
1927,1928,1,ENGINEERING EFFECTS,Nugent Slaughter,,FALSE
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,FALSE
1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,FALSE
1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,TRUE
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,TRUE
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,FALSE
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,FALSE
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,FALSE
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,FALSE
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,TRUE
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,FALSE
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,TRUE
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,FALSE
1927,1928,1,WRITING (Title Writing),Joseph Farnham,,TRUE
1927,1928,1,WRITING (Title Writing),"George Marion, Jr.",,FALSE
1927,1928,1,SPECIAL AWARD, Warner Bros.,,TRUE
1927,1928,1,SPECIAL AWARD, Charles Chaplin,,TRUE
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,FALSE
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,TRUE
1928,1929,2,ACTOR,Chester Morris,Alibi,FALSE
1928,1929,2,ACTOR,Paul Muni,The Valiant,FALSE
1928,1929,2,ACTOR,Lewis Stone,The Patriot,FALSE
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,FALSE
1928,1929,2,ACTRESS,Betty Compson,The Barker,FALSE
