title,budget,revenue,id,imdbId
Toy Story,30000000.0,373554033.0,862.0,116985.0
Jumanji,65000000.0,262797249.0,8844.0,78763.0
Heat,60000000.0,187436818.0,949.0,48028.0
GoldenEye,58000000.0,352194034.0,710.0,115851.0
Cutthroat Island,98000000.0,10017322.0,1408.0,104691.0
Casino,52000000.0,116112375.0,524.0,108002.0
Sense and Sensibility,16500000.0,135000000.0,4584.0,97236.0
Four Rooms,4000000.0,4300000.0,5.0,113041.0
Get Shorty,30250000.0,115101622.0,8012.0,199683.0
Leaving Las Vegas,3600000.0,49800000.0,451.0,106926.0
The City of Lost Children,18000000.0,1738611.0,902.0,54698.0
Twelve Monkeys,29500000.0,168840000.0,63.0,116126.0
Dead Man Walking,11000000.0,39363635.0,687.0,109491.0
To Die For,20000000.0,21284514.0,577.0,109120.0
Se7en,33000000.0,327311859.0,807.0,114266.0
The Usual Suspects,6000000.0,23341568.0,629.0,114305.0
From Dusk Till Dawn,19000000.0,25836616.0,755.0,42644.0
Things to Do in Denver When You're Dead,8000000.0,529766.0,400.0,113319.0
Nick of Time,8169363.0,8175346.0,2086.0,89731.0
The Bridges of Madison County,24000000.0,182016617.0,688.0,114048.0
Braveheart,72000000.0,210000000.0,197.0,114534.0
Taxi Driver,1300000.0,28262574.0,103.0,118040.0
Flirting with Disaster,7000000.0,14702438.0,2074.0,71910.0
Apollo 13,52000000.0,355237933.0,568.0,106408.0
Batman Forever,100000000.0,336529144.0,414.0,109067.0
Blue in the Face,2000000.0,1275000.0,5894.0,177898.0
Casper,50000000.0,287928194.0,8839.0,113762.0
Crimson Tide,53000000.0,157387195.0,8963.0,273689.0
Desperado,7000000.0,25405445.0,8068.0,55910.0
Devil in a Blue Dress,27000000.0,16140822.0,8512.0,75222.0
Die Hard: With a Vengeance,90000000.0,366101666.0,1572.0,57345.0
First Knight,55000000.0,127600435.0,6520.0,45966.0
Mallrats,6000000.0,2122561.0,2293.0,144604.0
The Net,22000000.0,110627965.0,1642.0,116631.0
Strange Days,42000000.0,7959291.0,281.0,110684.0
Under Siege 2: Dark Territory,60000000.0,104324083.0,3512.0,122459.0
Before Sunrise,2500000.0,5535405.0,76.0,114367.0
Clerks,27000.0,3151130.0,2292.0,117276.0
Don Juan DeMarco,25000000.0,22200000.0,1909.0,120902.0
Disclosure,55000000.0,214015089.0,8984.0,349903.0
Ed Wood,18000000.0,5887457.0,522.0,105275.0
Heavenly Creatures,5000000.0,3049135.0,1024.0,38166.0
Interview with the Vampire,60000000.0,223664608.0,628.0,117381.0
Junior,60000000.0,37000000.0,6280.0,266465.0
Star Wars,11000000.0,775398007.0,11.0,112346.0
Legends of the Fall,30000000.0,160638883.0,4476.0,94739.0
Mary Shelley's Frankenstein,45000000.0,112006296.0,3036.0,82484.0
Nell,31000000.0,106683817.0,1945.0,47296.0
Natural Born Killers,34000000.0,50282766.0,241.0,113089.0
Outbreak,50000000.0,189859560.0,6950.0,338188.0
Leon: The Professional,16000000.0,45284974.0,101.0,115734.0
Pulp Fiction,8000000.0,213928762.0,680.0,58898.0
Prêt-à-Porter,15000000.0,11300653.0,3586.0,80913.0
The Specialist,45000000.0,170362582.0,2636.0,37099.0
Stargate,55000000.0,196567262.0,2164.0,94077.0
The Shawshank Redemption,25000000.0,28341469.0,278.0,113808.0
Star Trek: Generations,38000000.0,120000000.0,193.0,114436.0
What's Eating Gilbert Grape,11000000.0,10032765.0,1587.0,82198.0
While You Were Sleeping,17000000.0,182057016.0,2064.0,98213.0
Muriel's Wedding,3000000.0,15119639.0,236.0,113117.0
Ace Ventura: Pet Detective,15000000.0,107217396.0,3049.0,61789.0
The Flintstones,46000000.0,341631208.0,888.0,113596.0
Forrest Gump,55000000.0,677945399.0,13.0,112453.0
Four Weddings and a Funeral,6000000.0,254700832.0,712.0,109374.0
The Lion King,45000000.0,788241776.0,8587.0,230512.0
Little Buddha,35000000.0,4858139.0,1689.0,120483.0
The Mask,23000000.0,351583407.0,854.0,51980.0
Reality Bites,11500000.0,20079850.0,2788.0,66765.0
Timecop,27000000.0,101646581.0,8831.0,324127.0
Highlander: The Final Dimension,26000000.0,36800000.0,8011.0,343168.0
In the Mouth of Madness,8000000.0,8946600.0,2654.0,34398.0
Beverly Hills Cop III,50000000.0,119208989.0,306.0,111495.0
Body Snatchers,13000000.0,428868.0,4722.0,250202.0
Calendar Girl,13000000.0,2570145.0,117553.0,1608368.0
Carlito's Way,30000000.0,36516012.0,6075.0,83888.0
Color of Night,40000000.0,19726050.0,2124.0,101272.0
The Fugitive,44000000.0,368875760.0,5503.0,265930.0
Hard Target,18000000.0,74189677.0,2019.0,47478.0
In the Name of the Father,13000000.0,65796862.0,7984.0,91083.0
Jurassic Park,63000000.0,920100000.0,329.0,111280.0
Killing Zoe,1500000.0,418961.0,507.0,107808.0
Executive Decision,55000000.0,121969216.0,2320.0,118636.0
Mrs. Doubtfire,25000000.0,441286195.0,788.0,117218.0
The Piano,7000000.0,116700000.0,713.0,110712.0
Poetic Justice,14000000.0,27515786.0,8291.0,61075.0
The Remains of the Day,11500000.0,23237911.0,1245.0,100150.0
RoboCop 3,22000000.0,10696210.0,5550.0,49452.0
Romeo Is Bleeding,11500000.0,3275585.0,2088.0,81353.0
Schindler's List,22000000.0,321365567.0,424.0,109305.0
The Shadow,25000000.0,48063435.0,8850.0,57063.0
Sleepless in Seattle,21000000.0,227799884.0,858.0,68646.0
Sliver,40000000.0,116300000.0,867.0,115836.0
Blade Runner,28000000.0,33139618.0,78.0,112744.0
True Romance,12500000.0,12281551.0,319.0,111149.0
Home Alone,18000000.0,476684675.0,771.0,94265.0
Ghost,22000000.0,505000000.0,251.0,113360.0
Aladdin,28000000.0,504050219.0,812.0,109356.0
Terminator 2: Judgment Day,100000000.0,520000000.0,280.0,113870.0
Dances with Wolves,22000000.0,424208848.0,581.0,112651.0
Batman,35000000.0,411348924.0,268.0,110365.0
The Silence of the Lambs,19000000.0,272742922.0,274.0,113755.0
Snow White and the Seven Dwarfs,1488423.0,184925486.0,408.0,109021.0
Pretty Woman,14000000.0,463000000.0,114.0,113774.0
The Wild Bunch,6244087.0,638641.0,576.0,106878.0
Fargo,7000000.0,60611975.0,275.0,110538.0
Hellraiser: Bloodline,4000000.0,16675000.0,8766.0,38360.0
Primal Fear,30000000.0,102616183.0,1592.0,118570.0
Mission: Impossible,80000000.0,457696359.0,954.0,31679.0
DragonHeart,57000000.0,115267375.0,8840.0,63803.0
Space Jam,80000000.0,250200000.0,2300.0,63462.0
Barbarella,9000000.0,2500000.0,8069.0,77360.0
Twister,92000000.0,494471524.0,664.0,116269.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000.0,9440272.0,935.0,45537.0
Jack,45000000.0,58620973.0,7095.0,76327.0
Trainspotting,4000000.0,16491080.0,627.0,113613.0
Independence Day,75000000.0,816969268.0,602.0,109934.0
A Time to Kill,40000000.0,152266007.0,1645.0,118971.0
The First Wives Club,26000000.0,116400000.0,2925.0,65571.0
Ransom,80000000.0,309492681.0,3595.0,165831.0
Emma,6000000.0,22231658.0,3573.0,112634.0
The Spitfire Grill,6000000.0,12643776.0,47907.0,367082.0
Basquiat,2962051.0,3011195.0,549.0,108328.0
The Godfather,6000000.0,245066411.0,238.0,113028.0
Manny & Lo,500000.0,431326.0,88224.0,194026.0
Singin' in the Rain,2540800.0,7200000.0,872.0,109066.0
An American in Paris,2723903.0,4500000.0,2769.0,138946.0
Breakfast at Tiffany's,2500000.0,9500000.0,164.0,112857.0
Vertigo,2479000.0,28000000.0,426.0,106452.0
Rear Window,1000000.0,36764313.0,567.0,107315.0
It Happened One Night,325000.0,4500000.0,3078.0,165859.0
North by Northwest,4000000.0,13275000.0,213.0,111579.0
The Apartment,3000000.0,25000000.0,284.0,117169.0
Some Like It Hot,2883848.0,25000000.0,239.0,113198.0
Charade,4000000.0,13474588.0,4808.0,108473.0
Casablanca,878000.0,10462500.0,289.0,110737.0
The Maltese Falcon,375000.0,1000000.0,963.0,41509.0
Sabrina,2238813.0,10000000.0,6620.0,305206.0
Roman Holiday,1500000.0,12000000.0,804.0,117628.0
The Wizard of Oz,2777000.0,33754967.0,630.0,115837.0
Gone with the Wind,4000000.0,400176459.0,770.0,38426.0
Sunset Boulevard,1752000.0,5000000.0,599.0,65214.0
Citizen Kane,839727.0,23217674.0,15.0,112760.0
2001: A Space Odyssey,10500000.0,68700000.0,62.0,113862.0
All About Eve,1400000.0,63463.0,705.0,115951.0
Rebecca,1288000.0,6000000.0,223.0,109445.0
Notorious,2000000.0,24464742.0,303.0,114214.0
Spellbound,1500000.0,7000000.0,4174.0,99073.0
To Catch a Thief,2500000.0,8750000.0,381.0,111693.0
Ninotchka,1365000.0,2279000.0,1859.0,120265.0
Laura,1020000.0,2000000.0,1939.0,36868.0
Top Hat,609000.0,3202000.0,3080.0,179196.0
The Thin Man,226408.0,1423000.0,3529.0,82934.0
Around the World in Eighty Days,6000000.0,42000000.0,2897.0,87188.0
It's a Wonderful Life,3180000.0,9644124.0,1585.0,116930.0
Mr. Smith Goes to Washington,1500000.0,9600000.0,3083.0,185125.0
The African Queen,1300000.0,10750000.0,488.0,107468.0
Cat on a Hot Tin Roof,3000000.0,17570324.0,261.0,110367.0
Michael Collins,28000000.0,16900000.0,1770.0,120594.0
The Chamber,50000000.0,22540359.0,6346.0,90585.0
"20,000 Leagues Under the Sea",5000000.0,28200000.0,173.0,113492.0
Cool Runnings,14000000.0,154864401.0,864.0,114936.0
Robin Hood: Prince of Thieves,48000000.0,390493908.0,8367.0,324197.0
Mary Poppins,6000000.0,102272727.0,433.0,109443.0
Die Hard,28000000.0,140767956.0,562.0,114906.0
Romeo + Juliet,14500000.0,147298761.0,454.0,106918.0
