name,rating,genre,year,score,budget,gross,runtime
The Shining,R,Drama,1980,8.4,19000000.0,46998772.0,146.0
The Blue Lagoon,R,Adventure,1980,5.8,4500000.0,58853106.0,104.0
Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,18000000.0,538375067.0,124.0
Airplane!,PG,Comedy,1980,7.7,3500000.0,83453539.0,88.0
Caddyshack,R,Comedy,1980,7.3,6000000.0,39846344.0,98.0
Friday the 13th,R,Horror,1980,6.4,550000.0,39754601.0,95.0
The Blues Brothers,R,Action,1980,7.9,27000000.0,115229890.0,133.0
Raging Bull,R,Biography,1980,8.2,18000000.0,23402427.0,129.0
Superman II,PG,Action,1980,6.8,54000000.0,108185706.0,127.0
The Long Riders,R,Biography,1980,7.0,10000000.0,15795189.0,100.0
Any Which Way You Can,PG,Action,1980,6.1,15000000.0,70687344.0,116.0
The Gods Must Be Crazy,PG,Adventure,1980,7.3,5000000.0,30031783.0,109.0
Popeye,PG,Adventure,1980,5.3,20000000.0,49823037.0,114.0
Ordinary People,R,Drama,1980,7.7,6000000.0,54766923.0,124.0
Dressed to Kill,R,Crime,1980,7.1,6500000.0,31899000.0,104.0
Somewhere in Time,PG,Drama,1980,7.2,5100000.0,9709597.0,103.0
Fame,R,Drama,1980,6.6,,21202829.0,134.0
9 to 5,PG,Comedy,1980,6.9,10000000.0,103300686.0,109.0
The Fog,R,Horror,1980,6.8,1000000.0,21448782.0,89.0
Stir Crazy,R,Comedy,1980,6.8,,101300000.0,111.0
Cruising,R,Crime,1980,6.5,11000000.0,19814523.0,102.0
Heaven's Gate,R,Adventure,1980,6.8,44000000.0,3484523.0,219.0
The Final Countdown,PG,Action,1980,6.7,12000000.0,16647800.0,103.0
Xanadu,PG,Fantasy,1980,5.3,20000000.0,22762571.0,96.0
Urban Cowboy,PG,Drama,1980,6.4,,46918287.0,132.0
Altered States,R,Horror,1980,6.9,,19853892.0,102.0
Little Darlings,R,Comedy,1980,6.5,,34326249.0,96.0
Raise the Titanic,PG,Action,1980,5.0,36000000.0,,115.0
Brubaker,R,Crime,1980,7.2,9000000.0,37121708.0,131.0
